Brand,Model
 TECNO           , TECNO POP 5 LTE                                          
 TECNO           , TECNO POP 7                                              
 TECNO           , TECNO POP 7 PRO                     
 TECNO           , TECNO SPARK 5 AIR                                        
 TECNO           , TECNO SPARK 7                                            
 TECNO           , TECNO SPARK GO 2023
 STYLO           , TITANIUM                                                 
 STYLO           , TITANIUM PLUS                                            
 VIVO            , VIVO Y01                                                 
 VIVO            , VIVO Y02                                                 
 VIVO            , VIVO Y03                                                 
VIVO, VIVO Y12S                         
 VIVO            , VIVO Y1S                                                 
 VIVO            , VIVO Y20S                                                
 VIVO            , VIVO Y21                                                 
 XIAOMI          , XIAOMI REDMI A2                                          
 STYLO           , YEBO                                                     
 TONGZEKANGWEI   , ZLT S50                                                  
